Title,Rating,Votes,Duration,Genre
The Inheritance,4.7, 2.9K,1h 25m,thriller
Outside,5.1, 4.6K,2h 22m,thriller
No Way Up,4.6, 11K,1h 30m,thriller
Inside,7,241,1h 44m,thriller
Imaginary,4.7, 17K,1h 44m,thriller
Vanished Into the Night,5.2, 4.7K,1h 32m,thriller
Lembayung,5.9,725,2h 3m,thriller
Skincare,5.7, 4.5K,1h 36m,thriller
Boneyard,4.1, 5K,1h 36m,thriller
The Last Breath,4.7, 2.1K,1h 36m,thriller
Sharp Corner,7.1,89,1h 50m,thriller
Sumala,5.8,996,1h 52m,thriller
My Fault,4.2, 7K,2h,thriller
Desert Fiends,8.1,589,1h 46m,thriller
McVeigh,4.4,538,1h 30m,thriller
Dead Sea,5.2, 5.4K,1h 28m,thriller
V/H/S/Beyond,5.8, 9.5K,1h 54m,thriller
Winner,6.5, 2.5K,1h 43m,thriller
Sew Torn,6.6,227,1h 40m,thriller
Harbin,6.2,697,1h 48m,thriller
We Bury the Dead,7.2,110,1h 34m,thriller
Detained,4.9, 1.6K,1h 37m,thriller
In Flight,3.8,154,1h 31m,thriller
Relay,7.4,110,1h 52m,thriller
Sons,6.5, 1.9K,1h 40m,thriller
Take Cover,5.1, 2.5K,1h 30m,thriller
The Prosecutor,6.7, 2K,1h 57m,thriller
Code 8: Part II,5.7, 16K,1h 40m,thriller
Sector 36,7.1, 25K,2h 3m,thriller
Levels,5, 1.6K,1h 33m,thriller
Hold Your Breath,5.3, 8.6K,1h 34m,thriller
Dead Money,5.8,686,1h 40m,thriller
Badland Hunters,5.9, 12K,1h 47m,thriller
The Front Room,4.6, 5.4K,1h 34m,thriller
Midnight Taxi,5.3,92,1h 37m,thriller
Don't Mess with Grandma,5.8,214,1h 21m,thriller
A Mistake,5.5,782,1h 41m,thriller
The Soul Eater,5.9, 2.7K,1h 48m,thriller
Baby John,5.2, 17K,2h 39m,thriller
Bosco,5.5, 3.9K,1h 39m,thriller
Depravity,4.3, 1K,1h 57m,thriller
Believer,4.6,396,1h 48m,thriller
Undercover,7.2, 4.1K,1h 58m,thriller
5lbs of Pressure,5.2, 1.6K,1h 51m,thriller
Shelby Oaks,6,245,1h 39m,thriller
Poison Sangga: The Homewrecker's Curse,6.8,251,1h 58m,thriller
Sikandar Ka Muqaddar,6, 24K,2h 22m,thriller
Pacific Fear,3.5,215,1h 25m,thriller
